ADANA,ADIYAMAN,AFYON,AÐRI,AMASYA,ANKARA,ANTALYA,ARTVÝN,AYDIN,BALIKESÝR,BÝLECÝK,BÝNGÖL,BÝTLÝS,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DENÝZLÝ,DÝYARBAKIR,EDÝRNE,ELAZIÐ,ERZÝNCAN,ERZURUM,ESKÝÞEHÝR,GAZÝANTEP,GÝRESUN,GÜMÜÞHANE,HAKKARÝ,HATAY,ISPARTA,ÝÇEL,ÝSTANBUL,ÝZMÝR,KARS,KASTAMONU,KAYSERÝ,KIRKLARELÝ,KIRÞEHÝR,KOCAELÝ,KONYA,KÜTAHYA,MALATYA,MANÝSA,KAHRAMANMARAÞ,MARDÝN,MUÐLA,MUÞ,NEVÞEHÝR,NÝÐDE,ORDU,RÝZE,SAKARYA,SAMSUN,SÝÝRT,SÝNOP,SÝVAS,TEKÝRDAÐ,TOKAT,TRABZON,TUNCELÝ,ÞANLIURFA,UÞAK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,ÞIRNAK,BARTIN,ARDAHAN,IÐDIR,YALOVA,KARABÜK,KÝLÝS,OSMANÝYE,DÜZCE
1150,1419,665,1620,882,664,929,1513,675,424,458,1522,1714,473,807,436,233,708,825,709,1572,62,1421,1249,1439,535,1335,1141,1304,2021,1341,806,1143,211,551,1639,721,982,,848,322,873,565,1323,556,1255,1660,774,1631,939,1008,1097,1352,359,945,1759,893,1102,121,996,1277,1380,1472,649,1849,879,542,885,1338,986,739,1672,1843,631,1622,1730,387,607,1394,1237,428
375,571,429,943,312,184,572,954,771,708,488,713,905,375,568,557,828,214,220,648,724,867,573,572,762,406,487,582,680,1184,566,518,368,637,752,962,328,134,848,,526,258,484,475,736,407,812,793,822,91,173,538,793,489,392,911,487,324,769,319,718,703,624,541,1040,112,452,110,702,320,113,824,995,467,984,1053,591,399,546,462,420
828,1097,343,1298,560,342,607,1191,573,279,136,1200,1392,151,485,132,399,386,503,528,1250,341,1099,927,1117,213,1013,819,982,1699,1019,484,821,111,453,1317,399,660,322,526,,551,243,1001,418,933,1338,672,1309,617,686,775,1030,37,623,1437,571,780,243,674,955,1058,1150,382,1527,557,220,563,1016,664,417,1350,1521,309,1300,1408,65,285,1072,915,106
356,692,223,1115,511,258,322,1152,533,551,420,883,1075,445,315,489,750,354,419,410,881,892,743,744,934,338,568,787,852,1265,547,264,348,662,550,1134,468,304,873,258,551,,323,645,534,548,893,555,992,223,242,743,993,514,591,1064,637,496,794,555,918,875,705,339,1210,370,522,148,874,119,253,977,1076,537,1156,1225,549,469,605,443,490
673,1009,100,1365,644,311,364,1292,408,228,112,1197,1389,320,242,177,427,442,552,285,1198,584,1057,994,1184,78,885,920,1061,1582,864,241,665,354,333,1384,556,618,565,484,243,323,,959,317,865,1210,430,1306,540,559,876,1131,206,724,1381,725,750,486,688,1056,1125,1022,139,1524,526,389,465,1083,436,386,1294,1393,478,1401,1475,241,454,922,760,275
394,184,862,592,466,659,951,640,1172,1183,963,238,430,850,955,1032,1303,686,530,1049,249,1342,98,363,414,881,246,544,496,720,378,905,463,1112,1189,617,719,341,1323,475,1001,645,959,,1173,222,344,1194,347,422,469,560,672,964,584,436,724,246,1244,354,597,232,268,978,565,470,927,497,492,644,588,349,531,902,644,708,1066,833,305,307,895
884,1220,311,1617,896,563,428,1544,155,141,385,1411,1603,563,358,290,331,694,804,208,1409,539,1271,1246,1436,395,1096,1172,1313,1793,1075,366,876,529,35,1636,808,832,556,736,418,534,317,1173,,1076,1421,254,1520,751,770,1128,1383,449,976,1592,977,1002,511,940,1308,1377,1233,195,1738,778,632,676,1335,647,638,1505,1604,721,1653,1727,355,697,1133,971,518
192,164,765,810,527,591,749,862,1075,1093,895,460,576,782,858,964,1235,621,554,952,369,1274,320,585,636,813,80,644,702,777,176,808,261,1044,1092,839,735,273,1255,407,933,548,865,222,1076,,405,1060,569,354,397,634,843,896,645,552,785,346,1176,415,768,454,217,881,739,448,859,429,714,481,520,465,588,874,866,913,998,806,139,105,827
537,296,1110,518,794,996,1094,645,1420,1438,1300,239,284,1187,1203,1369,1637,1014,858,1297,95,1679,248,503,419,1218,325,785,622,398,521,1153,606,1449,1437,622,1047,678,1660,812,1338,893,1210,344,1421,405,,1405,352,759,742,828,798,1301,912,230,1052,574,1581,682,723,372,188,1226,447,798,1263,802,544,826,925,149,209,1230,649,621,1403,1161,384,450,1232
868,1204,368,1664,953,620,311,1601,99,395,542,1432,1600,750,241,544,549,751,861,145,1393,757,1292,1293,1483,500,1080,1229,1370,1777,1059,292,799,783,225,1683,865,853,774,793,672,555,430,1194,254,1060,1405,,1541,772,791,1185,1440,636,1033,1576,1034,1045,729,997,1365,1424,1217,295,1759,835,819,697,1392,661,695,1489,1588,879,1705,1774,609,811,1117,955,705
741,462,1209,245,749,1006,1298,479,1519,1530,1310,113,83,1158,1302,1379,1650,997,841,1396,257,1650,251,382,266,1228,570,629,466,390,725,1252,810,1420,1536,349,1002,688,1631,822,1309,992,1306,347,1520,569,352,1541,,769,816,673,632,1272,825,180,974,577,1552,685,567,251,433,1325,218,801,1218,844,388,991,935,218,275,1185,408,388,1374,1116,629,654,1203
287,518,440,892,363,275,537,929,750,768,579,660,852,466,533,648,919,305,296,627,671,958,520,521,711,497,434,571,629,1131,478,483,280,728,767,911,419,81,939,91,617,223,540,422,751,354,759,772,769,,82,558,770,580,468,858,563,273,860,339,695,652,571,556,987,190,543,75,651,257,204,771,942,558,933,1002,682,490,493,374,511
205,541,459,939,441,348,544,976,769,787,648,707,899,535,552,717,986,387,374,646,718,1027,567,568,758,566,417,618,676,1114,396,502,198,797,786,958,501,128,1008,173,686,242,559,469,770,397,742,791,816,82,,608,817,649,546,905,641,320,929,389,742,699,554,575,1034,268,612,123,698,175,286,818,925,627,980,1049,751,559,454,292,580
718,726,821,591,280,565,1057,416,1163,1048,837,590,756,624,987,897,1168,480,324,1040,733,1116,592,325,410,798,714,44,207,1023,810,952,787,886,1144,610,443,482,1097,538,775,743,876,560,1128,634,828,1185,673,558,608,,255,738,152,853,308,314,1018,219,180,456,810,933,821,426,659,633,285,783,490,787,948,626,525,701,840,557,773,739,669
927,856,1076,550,535,820,1307,161,1418,1303,1092,559,715,879,1242,1152,1423,735,579,1295,703,1371,576,309,379,1053,918,211,176,924,1019,1207,996,1141,1399,363,698,691,1352,793,1030,993,1131,672,1383,843,798,1440,632,770,817,255,,993,407,812,563,497,1273,474,75,440,879,1188,722,681,914,845,254,992,745,756,907,881,270,497,1095,812,977,948,924
791,1060,306,1261,523,305,570,1154,604,310,99,1163,1355,114,448,159,430,349,466,491,1213,378,1062,890,1080,176,976,782,945,1662,982,447,784,148,484,1280,362,623,359,489,37,514,206,964,449,896,1301,636,1272,580,649,738,993,,586,1400,534,743,280,637,918,1021,1113,345,1490,520,183,526,979,627,380,1313,1484,272,1263,1371,102,248,1035,878,69
729,750,669,743,131,413,905,568,1011,896,685,719,908,472,835,745,1016,328,172,888,817,964,664,446,562,646,725,196,359,1175,821,800,744,734,992,762,291,453,945,392,623,591,724,584,976,645,912,1033,825,468,546,152,407,586,,1003,156,338,866,230,332,577,834,781,973,280,507,502,437,702,338,916,1098,474,677,853,688,405,784,750,517
708,388,1281,331,886,1095,1265,659,1591,1609,1399,284,97,1286,1374,1468,1739,1106,950,1468,187,1778,340,557,446,1317,496,809,646,284,692,1324,777,1548,1608,529,1139,777,1759,911,1437,1064,1381,436,1592,552,230,1576,180,858,905,853,812,1400,1003,,1144,666,1680,774,747,426,359,1397,260,890,1355,933,568,997,1024,87,95,1322,588,434,1502,1253,555,621,1331
846,890,670,899,258,414,951,724,1012,844,633,865,1057,420,836,693,964,283,267,889,957,912,804,592,718,647,865,352,515,1331,961,835,839,682,993,918,183,548,893,487,571,637,725,724,977,785,1052,1034,974,563,641,308,563,534,156,1144,,478,814,372,488,723,974,782,1129,375,399,593,593,748,388,1057,1239,366,833,1009,636,297,924,890,465
430,412,695,619,220,439,810,656,1023,974,754,468,660,629,806,823,1094,440,284,900,479,1121,326,248,438,672,426,298,356,950,522,756,499,891,1018,638,473,194,1102,324,780,496,750,246,1002,346,574,1045,577,273,320,314,497,743,338,666,478,,1023,108,422,379,496,807,795,224,689,348,378,495,364,579,761,656,660,729,845,587,485,451,674
1071,1340,586,1541,803,585,850,1434,630,379,379,1443,1635,394,728,375,188,629,746,664,1493,140,1342,1170,1360,456,1256,1062,1225,1942,1262,727,1064,132,506,1560,642,903,121,769,243,794,486,1244,511,1176,1581,729,1552,860,929,1018,1273,280,866,1680,814,1023,,917,1198,1301,1393,604,1770,800,463,806,1259,907,660,1593,1764,552,1543,1651,308,528,1315,1158,349
499,520,633,677,114,377,869,635,975,912,692,576,768,523,799,761,1032,334,178,852,587,1015,434,306,496,610,495,263,373,1058,591,764,568,785,956,696,367,263,996,319,674,555,688,354,940,415,682,997,685,339,389,219,474,637,230,774,372,108,917,,399,437,604,745,903,207,583,414,395,564,302,687,869,550,718,787,739,481,554,520,568
