EventID,Ajans,Tarih_UTC,Enlem,Boylam,Derinlik,Buyukluk,Ulke,Sehir
387660,DDA,2017-08-18 14:10:47,36.9063,27.62,16.79,4.5,Türkiye,-
387643,DDA,2017-08-18 12:47:33,36.9051,27.645,9.12,4.2,Türkiye,-
387610,DDA,2017-08-18 04:30:01,37.572,37.5423,9.02,4.3,Türkiye,Kahramanmaras
387602,DDA,2017-08-18 03:46:55,34.8195,24.5321,6.99,4.6,-,-
387434,DDA,2017-08-16 15:53:29,36.6793,24.6761,5.86,4.5,-,-
386981,DDA,2017-08-14 02:43:48,37.1215,27.7088,6.9,4.7,Türkiye,Mugla
386857,DDA,2017-08-13 16:35:22,37.131,27.7206,7.12,4.3,Türkiye,Mugla
386804,DDA,2017-08-13 12:28:14,37.1133,27.7023,14.4,4.1,Türkiye,Mugla
386789,DDA,2017-08-13 11:16:51,37.0813,27.6848,26.19,4.8,Türkiye,Mugla
386363,DDA,2017-08-11 03:28:33,35.459,23.0303,6.65,4.3,-,-
386289,DDA,2017-08-10 15:19:26,39.9381,39.6228,12.1,4,Türkiye,Gümüshane
386148,DDA,2017-08-09 22:56:18,36.9783,27.6608,13.74,4.1,Türkiye,-
386126,DDA,2017-08-09 20:14:08,39.3031,27.8866,13.08,4,Türkiye,Manisa
385714,DDA,2017-08-08 07:42:21,36.9576,27.6236,11.03,5.1,Türkiye,-
385636,DDA,2017-08-08 01:46:20,36.9738,27.6458,6.86,4.3,Türkiye,-
385581,DDA,2017-08-07 18:25:58,36.9905,27.6285,9.14,4.1,Türkiye,Mugla
385483,DDA,2017-08-07 05:44:25,36.9616,27.6188,11.87,4.1,Türkiye,-
385473,DDA,2017-08-07 05:18:47,36.9951,27.6128,12.67,4.6,Türkiye,Mugla
385056,DDA,2017-08-05 03:20:52,38.9431,26.6051,5.9,4.2,-,-
384318,DDA,2017-07-31 21:29:14,34.6571,24.1415,6.61,5.1,-,-
384088,DDA,2017-07-30 17:51:18,36.9601,27.6333,20.97,4.4,Türkiye,-
384034,DDA,2017-07-30 10:56:33,36.9913,27.6035,10.25,4,Türkiye,-
384019,DDA,2017-07-30 07:02:14,36.9956,27.5933,10.37,4.3,Türkiye,Mugla
383447,DDA,2017-07-27 12:45:18,40.2238,25.195,32.94,4.1,-,-
382315,DDA,2017-07-22 22:12:32,40.0158,27.1296,14.72,4,Türkiye,Çanakkale
382240,DDA,2017-07-22 17:25:48,36.584,26.806,127.2,4.6,-,-
382235,DDA,2017-07-22 17:09:21,36.9143,27.3148,7.85,4.6,-,-
382093,DDA,2017-07-22 04:53:38,36.9,27.576,15.1,4,Türkiye,-
382009,DDA,2017-07-22 00:34:11,36.916,27.551,13.3,4,Türkiye,-
381868,DDA,2017-07-21 17:09:48,36.941,27.332,37.5,5,-,-
381732,DDA,2017-07-21 10:36:54,34.911,25.202,66.8,4.4,-,-
381703,DDA,2017-07-21 09:55:53,36.91,27.678,14.7,4.2,Türkiye,-
381621,DDA,2017-07-21 05:52:12,36.922,27.3391,10.31,4.1,-,-
381614,DDA,2017-07-21 05:13:59,36.9016,27.6203,7.06,4.2,Türkiye,-
381611,DDA,2017-07-21 05:05:24,36.8696,27.6358,3.74,4.1,Türkiye,-
381606,DDA,2017-07-21 05:03:59,36.8966,27.5948,16.79,4.5,Türkiye,-
381591,DDA,2017-07-21 03:59:01,36.8976,27.6031,10.95,4.1,Türkiye,-
381548,DDA,2017-07-21 02:12:34,36.8285,27.3521,12.85,4.5,-,-
381546,DDA,2017-07-21 01:50:30,36.9551,27.409,11.52,4.2,-,-
381538,DDA,2017-07-21 01:38:48,36.904,27.5743,14.17,4.4,Türkiye,-
381543,DDA,2017-07-21 01:35:43,36.9055,27.5678,15.22,4.3,Türkiye,-
381534,DDA,2017-07-21 01:25:34,36.9625,27.4623,10.19,4.1,-,-
381519,DDA,2017-07-21 00:57:07,36.8796,27.6075,10.18,4.3,Türkiye,-
381510,DDA,2017-07-21 00:53:56,36.9403,27.4093,2.81,4.2,-,-
381528,DDA,2017-07-21 00:16:41,36.958,27.4033,13.16,4.1,-,-
381494,DDA,2017-07-20 23:23:51,36.9298,27.2891,9.41,4.5,-,-
381495,DDA,2017-07-20 23:00:44,36.8851,27.4128,8.02,4.2,-,-
381493,DDA,2017-07-20 22:54:34,36.9403,27.5573,19.99,4.5,Türkiye,-
381492,DDA,2017-07-20 22:52:58,36.9158,27.3441,10.33,4.6,-,-
381496,DDA,2017-07-20 22:48:28,36.9136,27.3833,18.79,4.4,-,-
381517,DDA,2017-07-20 22:37:37,36.8576,27.656,7.43,4,Türkiye,-
381491,DDA,2017-07-20 22:31:09,36.9198,27.4435,19.44,6.5,-,-
381299,DDA,2017-07-19 04:42:50,38.7851,27.8233,13.12,4,Türkiye,Manisa
380201,DDA,2017-07-05 07:26:05,38.6205,27.62,10.26,4.1,Türkiye,Manisa
380154,DDA,2017-07-04 06:21:11,40.8616,43.8625,24.33,4,Ermenistan,Shirak
380070,DDA,2017-07-03 13:53:43,34.807,26.488,15,4.2,-,-
378312,DDA,2017-06-26 05:54:53,38.801,26.457,16.73,4.1,-,-
377770,DDA,2017-06-22 08:56:33,38.6325,27.5446,16.53,4,Türkiye,Manisa
377693,DDA,2017-06-22 02:48:52,38.8216,26.453,13.5,5,-,-
377622,DDA,2017-06-21 12:46:00,34.9236,24.7438,5.45,4.1,-,-
377264,DDA,2017-06-18 22:41:03,39.5205,23.2448,16.74,4.2,-,-
377194,DDA,2017-06-18 17:46:20,39.6243,23.3068,6.72,4,-,-
376890,DDA,2017-06-17 19:50:04,38.8381,26.436,10.25,5.3,-,-
376889,DDA,2017-06-17 19:33:32,38.8185,26.4366,12.43,4.2,-,-
376792,DDA,2017-06-17 03:40:37,38.906,26.2196,12.35,4.5,-,-
376682,DDA,2017-06-16 13:25:50,38.7918,26.3946,18.38,4.2,-,-
376483,DDA,2017-06-15 10:37:04,38.8956,26.2635,13.79,4.1,-,-
376285,DDA,2017-06-14 07:10:04,34.4985,23.6621,5.18,4.3,-,-
376247,DDA,2017-06-14 04:35:54,38.8613,26.3925,11.78,4.4,-,-
375846,DDA,2017-06-13 03:19:58,38.8465,26.4233,7.09,4,-,-
375688,DDA,2017-06-12 18:25:40,38.876,26.2961,12.53,4,-,-
375653,DDA,2017-06-12 16:30:15,38.8673,26.3866,12.29,4,-,-
375633,DDA,2017-06-12 15:25:01,38.8608,26.377,6.97,4,-,-
375618,DDA,2017-06-12 14:19:47,38.8548,26.3601,12.42,4.3,-,-
375577,DDA,2017-06-12 12:35:33,38.8586,26.3681,7.15,4.9,-,-
375581,DDA,2017-06-12 12:32:53,38.8236,26.3361,6.98,4,-,-
375578,DDA,2017-06-12 12:31:38,38.8941,26.2456,7.01,4.9,-,-
375576,DDA,2017-06-12 12:28:37,38.8486,26.313,15.96,6.2,-,-
375153,DDA,2017-06-07 18:25:42,41.4628,45.714,7.31,4.5,Gürcistan,Signagi
374201,DDA,2017-05-30 12:29:22,35.4025,31.5001,13.75,4.2,-,-
373690,DDA,2017-05-28 11:04:58,38.7231,27.7921,10.82,4.8,Türkiye,Manisa
373653,DDA,2017-05-28 08:49:47,38.7541,27.8043,11.75,4.1,Türkiye,Manisa
373625,DDA,2017-05-28 07:34:01,38.7306,27.7743,3.24,4.1,Türkiye,Manisa
373584,DDA,2017-05-28 04:38:19,38.7365,27.806,9.78,4.5,Türkiye,Manisa
373559,DDA,2017-05-28 02:52:55,38.7115,27.7956,6.9,4.8,Türkiye,Manisa
373557,DDA,2017-05-28 02:50:25,38.7206,27.791,4.28,4.6,Türkiye,Manisa
373551,DDA,2017-05-28 02:16:41,38.7448,27.8465,6.95,4,Türkiye,Manisa
373550,DDA,2017-05-28 02:14:59,38.7286,27.8005,8.88,4.4,Türkiye,Manisa
373447,DDA,2017-05-27 15:53:23,38.7358,27.8156,11.03,5.1,Türkiye,Manisa
373235,DDA,2017-05-26 01:03:06,34.3766,28.1918,7.56,4.3,-,-
372840,DDA,2017-05-20 11:06:14,35.702,27.5801,7.6,4.3,-,-
372839,DDA,2017-05-20 11:05:01,39.7661,39.4746,8.46,4.1,Türkiye,Erzincan
372812,DDA,2017-05-20 09:12:31,35.053,26.92,35.1,4.1,-,-
372563,DDA,2017-05-17 11:30:32,36.0603,27.4441,26.21,4.9,-,-
371460,DDA,2017-05-12 05:55:44,37.8695,27.1431,7.05,4.2,Türkiye,-
371338,DDA,2017-05-11 17:58:02,40.0566,40.705,6.41,4.7,Türkiye,Erzurum
371038,DDA,2017-05-08 08:47:19,37.8695,27.1403,5.08,4.2,Türkiye,-
370621,DDA,2017-05-03 23:57:12,36.5748,43.45,21.35,4.1,Irak,Al Shikhan
370579,DDA,2017-05-03 13:53:26,35.7261,26.7788,8.19,4,-,-
